date,team1,team2,banned_by,map
2026-04-23,ALU,Wolves,ALU,Firing Range
2026-04-23,ALU,Wolves,Wolves,Coastal
2026-04-23,ALU,Wolves,ALU,Summit
2026-04-23,ALU,Wolves,Wolves,Combine
2026-04-23,ALU,Wolves,ALU,Crossroads Strike
2026-04-23,ALU,Wolves,Wolves,Standoff
2026-04-23,GL,ELV,GL,Firing Range
2026-04-23,GL,ELV,ELV,Slums
2026-04-23,GL,ELV,ELV,Arsenal
2026-04-23,GL,ELV,GL,Summit
2026-04-23,GL,ELV,GL,Crossroads Strike
2026-04-23,GL,ELV,ELV,Standoff
2026-04-24,Q9,OUG,Q9,Slums
2026-04-24,Q9,OUG,OUG,Tunisia
2026-04-24,Q9,OUG,Q9,Arsenal
2026-04-24,Q9,OUG,OUG,Takeoff
2026-04-24,Q9,OUG,Q9,Raid
2026-04-24,Q9,OUG,OUG,Crossroads Strike
