date,team1,team2,banned_by,map
2026-04-23,ALU,Wolves,ALU,Firing Range
2026-04-23,ALU,Wolves,Wolves,Coastal
2026-04-23,ALU,Wolves,ALU,Summit
2026-04-23,ALU,Wolves,Wolves,Combine
2026-04-23,ALU,Wolves,ALU,Crossroads Strike
2026-04-23,ALU,Wolves,Wolves,Standoff
2026-04-23,GL,ELV,GL,Firing Range
2026-04-23,GL,ELV,ELV,Slums
2026-04-23,GL,ELV,ELV,Arsenal
2026-04-23,GL,ELV,GL,Summit
2026-04-23,GL,ELV,GL,Crossroads Strike
2026-04-23,GL,ELV,ELV,Standoff
2026-04-24,Q9,OUG,Q9,Slums
2026-04-24,Q9,OUG,OUG,Tunisia
2026-04-24,Q9,OUG,Q9,Arsenal
2026-04-24,Q9,OUG,OUG,Takeoff
2026-04-24,Q9,OUG,Q9,Raid
2026-04-24,Q9,OUG,OUG,Crossroads Strike
2026-04-24,GAL,DVS,GAL,Tunisia
2026-04-24,GAL,DVS,GAL,Combine
2026-04-24,GAL,DVS,GAL,Standoff
2026-04-24,GAL,DVS,DVS,Meltdown
2026-04-24,GAL,DVS,DVS,Hacienda
2026-04-24,GAL,DVS,DVS,Crossroads Strike
2026-04-25,Wolves,Q9,Wolves,Slums
2026-04-25,Wolves,Q9,Wolves,Arsenal
2026-04-25,Wolves,Q9,Q9,Coastal
2026-04-25,Wolves,Q9,Q9,Summit
2026-04-25,ELV,GAL,ELV,Coastal
2026-04-25,ELV,GAL,ELV,Takeoff
2026-04-25,ELV,GAL,GAL,Meltdown
2026-04-25,ELV,GAL,GAL,Hacienda
2026-04-26,ALU,GL,ALU,Tunisia
2026-04-26,ALU,GL,ALU,Hacienda
2026-04-26,ALU,GL,GL,Firing Range
2026-04-26,ALU,GL,GL,Summit
2026-04-26,ELV,Q9,Q9,Slums
2026-04-26,ELV,Q9,Q9,Summit
2026-04-26,ELV,Q9,ELV,Firing Range
2026-04-26,ELV,Q9,ELV,Arsenal
2026-05-10,Q9,ELV,Q9,Meltdown
2026-05-10,Q9,ELV,Q9,Summit
2026-05-10,Q9,ELV,ELV,Arsenal
2026-05-10,Q9,ELV,ELV,Tunisia
2026-05-10,Q9,ALU,ALU,Slums
2026-05-10,Q9,ALU,ALU,Summit
2026-05-10,Q9,ALU,Q9,Arsenal
2026-05-10,Q9,ALU,Q9,Meltdown
