Date,Opponent,Map,Player,Kills,Deaths,Assists
2026-02-25,Q9,Hacienda,Abhiz,45,37,7
2026-02-25,Q9,Hacienda,Prevail,46,39,13
2026-02-25,Q9,Hacienda,Skullguy,38,37,18
2026-02-25,Q9,Hacienda,Viper,48,41,20
2026-02-25,Q9,Hacienda,Warden,36,41,12
2026-02-25,Q9,Combine,Abhiz,39,39,28
2026-02-25,Q9,Combine,Prevail,43,48,16
2026-02-25,Q9,Combine,Skullguy,31,39,16
2026-02-25,Q9,Combine,Viper,47,43,17
2026-02-25,Q9,Combine,Warden,33,44,20
2026-02-25,Q9,Arsenal,Abhiz,40,31,13
2026-02-25,Q9,Arsenal,Prevail,30,31,14
2026-02-25,Q9,Arsenal,Skullguy,28,26,13
2026-02-25,Q9,Arsenal,Viper,25,32,12
2026-02-25,Q9,Arsenal,Warden,33,29,16
2026-02-25,Q9,Takeoff,Abhiz,47,49,35
2026-02-25,Q9,Takeoff,Prevail,56,53,18
2026-02-25,Q9,Takeoff,Skullguy,48,46,18
2026-02-25,Q9,Takeoff,Viper,46,44,23
2026-02-25,Q9,Takeoff,Warden,39,49,24
2026-02-24,XROCK,Summit,Abhiz,39,27,22
2026-02-24,XROCK,Summit,Skullguy,32,27,10
2026-02-24,XROCK,Summit,Viper,33,32,19
2026-02-24,XROCK,Summit,Warden,36,28,14
2026-02-24,XROCK,Combine,Abhiz,24,49,20
2026-02-24,XROCK,Combine,Skullguy,42,41,26
2026-02-24,XROCK,Combine,Viper,56,44,19
2026-02-24,XROCK,Combine,Warden,46,45,9
2026-02-24,XROCK,Takeoff,Abhiz,40,21,12
2026-02-24,XROCK,Takeoff,Skullguy,24,26,9
2026-02-24,XROCK,Takeoff,Viper,62,15,20
2026-02-24,XROCK,Takeoff,Warden,35,25,16
2026-02-24,XROCK,Raid,Abhiz,28,30,6
2026-02-24,XROCK,Raid,Skullguy,22,23,4
2026-02-24,XROCK,Raid,Viper,23,30,7
2026-02-24,XROCK,Raid,Warden,30,21,4
2026-02-24,XROCK,Crossroads Strike,Abhiz,34,19,12
2026-02-24,XROCK,Crossroads Strike,Skullguy,23,21,0
2026-02-24,XROCK,Crossroads Strike,Viper,31,20,18
2026-02-24,XROCK,Crossroads Strike,Warden,32,27,10
2026-02-26,ALU,Takeoff,Abhiz,40,52,38
2026-02-26,ALU,Takeoff,Prevail,39,52,15
2026-02-26,ALU,Takeoff,Skullguy,52,39,21
2026-02-26,ALU,Takeoff,Viper,41,51,21
2026-02-26,ALU,Takeoff,Warden,42,52,24
2026-02-27,XROCK,Hacienda,Abhiz,50,34,19
2026-02-27,XROCK,Hacienda,Prevail,33,33,13
2026-02-27,XROCK,Hacienda,Skullguy,47,34,10
2026-02-27,XROCK,Hacienda,Viper,42,32,17
2026-02-27,XROCK,Hacienda,Warden,46,42,11
2026-02-27,XROCK,Summit,Abhiz,30,23,20
2026-02-27,XROCK,Summit,Prevail,44,26,9
2026-02-27,XROCK,Summit,Skullguy,32,25,11
2026-02-27,XROCK,Summit,Viper,37,23,23
2026-02-27,XROCK,Summit,Warden,39,29,15
2026-02-27,XROCK,Raid,Abhiz,37,42,9
2026-02-27,XROCK,Raid,Prevail,41,36,11
2026-02-27,XROCK,Raid,Skullguy,45,36,3
2026-02-27,XROCK,Raid,Viper,31,25,8
2026-02-27,XROCK,Raid,Warden,36,28,6
2026-02-27,XROCK,Crossroads Strike,Abhiz,31,27,7
2026-02-27,XROCK,Crossroads Strike,Prevail,32,33,8
2026-02-27,XROCK,Crossroads Strike,Skullguy,42,19,4
2026-02-27,XROCK,Crossroads Strike,Viper,37,28,17
2026-02-27,XROCK,Crossroads Strike,Warden,26,32,12
2026-03-02,Q9,Combine,Abhiz,44,46,21
2026-03-02,Q9,Combine,Prevail,47,52,13
2026-03-02,Q9,Combine,Skullguy,34,45,16
2026-03-02,Q9,Combine,Viper,58,43,15
2026-03-02,Q9,Combine,Warden,31,49,23
2026-03-02,Q9,Arsenal,Abhiz,45,21,13
2026-03-02,Q9,Arsenal,Prevail,34,28,14
2026-03-02,Q9,Arsenal,Skullguy,29,27,16
2026-03-02,Q9,Arsenal,Viper,29,28,19
2026-03-02,Q9,Arsenal,Warden,23,30,18
2026-03-02,Q9,Standoff,Abhiz,38,35,16
2026-03-02,Q9,Standoff,Prevail,31,35,11
2026-03-02,Q9,Standoff,Skullguy,34,29,5
2026-03-02,Q9,Standoff,Viper,32,26,12
2026-03-02,Q9,Standoff,Warden,32,34,13
2026-03-02,ALU,Takeoff,Abhiz,41,38,22
2026-03-02,ALU,Takeoff,Prevail,24,46,17
2026-03-02,ALU,Takeoff,Skullguy,28,35,21
2026-03-02,ALU,Takeoff,Viper,29,38,14
2026-03-02,ALU,Takeoff,Warden,44,37,20
2026-03-02,ALU,Combine,Abhiz,33,46,26
2026-03-02,ALU,Combine,Prevail,49,41,12
2026-03-02,ALU,Combine,Skullguy,42,41,25
2026-03-02,ALU,Combine,Viper,62,38,20
2026-03-02,ALU,Combine,Warden,48,43,28
2026-03-02,ALU,Standoff,Abhiz,12,24,9
2026-03-02,ALU,Standoff,Prevail,21,27,5
2026-03-02,ALU,Standoff,Skullguy,16,20,3
2026-03-02,ALU,Standoff,Viper,17,22,7
2026-03-02,ALU,Standoff,Warden,15,27,11
2026-03-03,DVS,Hacienda,Abhiz,31,40,13
2026-03-03,DVS,Hacienda,Prevail,32,42,8
2026-03-03,DVS,Hacienda,Skullguy,23,38,16
2026-03-03,DVS,Hacienda,Viper,29,39,15
2026-03-03,DVS,Hacienda,Warden,19,38,10
2026-03-03,DVS,Summit,Abhiz,45,26,22
2026-03-03,DVS,Summit,Prevail,37,32,8
2026-03-03,DVS,Summit,Skullguy,26,31,16
2026-03-03,DVS,Summit,Viper,45,26,17
2026-03-03,DVS,Summit,Warden,35,33,16
2026-03-03,DVS,Raid,Abhiz,26,30,5
2026-03-03,DVS,Raid,Prevail,21,30,3
2026-03-03,DVS,Raid,Skullguy,19,28,1
2026-03-03,DVS,Raid,Viper,18,26,3
2026-03-03,DVS,Raid,Warden,16,34,9
2026-03-03,DVS,Standoff,Abhiz,22,37,3
2026-03-03,DVS,Standoff,Prevail,22,37,4
2026-03-03,DVS,Standoff,Skullguy,17,33,4
2026-03-03,DVS,Standoff,Viper,37,27,7
2026-03-03,DVS,Standoff,Warden,29,26,2
2026-03-03,DVS,Crossroads Strike,Abhiz,37,30,9
2026-03-03,DVS,Crossroads Strike,Prevail,34,32,10
2026-03-03,DVS,Crossroads Strike,Skullguy,29,32,3
2026-03-03,DVS,Crossroads Strike,Viper,34,28,11
2026-03-03,DVS,Crossroads Strike,Warden,21,43,14
2026-03-03,DVS,Slums,Abhiz,9,12,2
2026-03-03,DVS,Slums,Prevail,8,13,4
2026-03-03,DVS,Slums,Skullguy,11,13,2
2026-03-03,DVS,Slums,Viper,11,12,7
2026-03-03,DVS,Slums,Warden,8,13,2
2026-03-05,Q9,Crossroads Strike,Abhiz,39,32,10
2026-03-05,Q9,Crossroads Strike,Prevail,43,40,16
2026-03-05,Q9,Crossroads Strike,Skullguy,29,33,3
2026-03-05,Q9,Crossroads Strike,Viper,36,39,14
2026-03-05,Q9,Crossroads Strike,Warden,42,35,19
2026-03-05,Q9,Standoff,Abhiz,36,30,11
2026-03-05,Q9,Standoff,Prevail,24,36,13
2026-03-05,Q9,Standoff,Skullguy,23,32,4
2026-03-05,Q9,Standoff,Viper,30,32,4
2026-03-05,Q9,Standoff,Warden,28,37,3
2026-03-06,ETs,Crossroads Strike,Abhiz,38,27,8
2026-03-06,ETs,Crossroads Strike,Prevail,46,38,9
2026-03-06,ETs,Crossroads Strike,Skullguy,35,28,9
2026-03-06,ETs,Crossroads Strike,Viper,39,31,17
2026-03-06,ETs,Crossroads Strike,Warden,42,36,9
2026-03-07,Wolves,Summit,Abhiz,38,32,19
2026-03-07,Wolves,Summit,Prevail,32,30,11
2026-03-07,Wolves,Summit,Skullguy,35,30,10
2026-03-07,Wolves,Summit,Viper,40,28,19
2026-03-07,Wolves,Summit,Warden,36,29,16
2026-03-07,Wolves,Hacienda,Abhiz,40,25,10
2026-03-07,Wolves,Hacienda,Prevail,33,28,10
2026-03-07,Wolves,Hacienda,Skullguy,29,26,15
2026-03-07,Wolves,Hacienda,Viper,41,28,17
2026-03-07,Wolves,Hacienda,Warden,36,32,14
2026-03-07,Wolves,Raid,Abhiz,47,29,7
2026-03-07,Wolves,Raid,Prevail,40,39,7
2026-03-07,Wolves,Raid,Skullguy,28,34,3
2026-03-07,Wolves,Raid,Viper,37,40,9
2026-03-07,Wolves,Raid,Warden,38,41,16
2026-03-07,Wolves,Crossroads Strike,Abhiz,49,31,2
2026-03-07,Wolves,Crossroads Strike,Prevail,30,38,6
2026-03-07,Wolves,Crossroads Strike,Skullguy,32,34,14
2026-03-07,Wolves,Crossroads Strike,Viper,41,36,18
2026-03-07,Wolves,Crossroads Strike,Warden,41,33,11
2026-03-07,Wolves,Standoff,Abhiz,25,29,7
2026-03-07,Wolves,Standoff,Prevail,37,37,8
2026-03-07,Wolves,Standoff,Skullguy,26,23,6
2026-03-07,Wolves,Standoff,Viper,38,28,10
2026-03-07,Wolves,Standoff,Warden,36,34,4
2026-03-07,Wolves,Tunisia,Abhiz,9,8,0
2026-03-07,Wolves,Tunisia,Prevail,14,13,1
2026-03-07,Wolves,Tunisia,Skullguy,9,9,4
2026-03-07,Wolves,Tunisia,Viper,10,10,5
2026-03-07,Wolves,Tunisia,Warden,17,12,6
2026-03-10,OUG,Combine,Abhiz,30,37,6
2026-03-10,OUG,Combine,Prevail,25,40,11
2026-03-10,OUG,Combine,Skullguy,28,37,8
2026-03-10,OUG,Combine,Viper,24,41,16
2026-03-10,OUG,Combine,Warden,25,42,17
2026-03-10,OUG,Raid,Abhiz,36,23,8
2026-03-10,OUG,Raid,Prevail,24,31,9
2026-03-10,OUG,Raid,Skullguy,16,33,8
2026-03-10,OUG,Raid,Viper,18,26,10
2026-03-10,OUG,Raid,Warden,30,29,11
2026-03-14,Q9,Arsenal,Abhiz,38,29,15
2026-03-14,Q9,Arsenal,Prevail,23,28,10
2026-03-14,Q9,Arsenal,Skullguy,25,26,16
2026-03-14,Q9,Arsenal,Viper,38,25,18
2026-03-14,Q9,Arsenal,Warden,26,28,17
2026-03-14,Q9,Hacienda,Abhiz,54,37,30
2026-03-14,Q9,Hacienda,Prevail,40,43,11
2026-03-14,Q9,Hacienda,Skullguy,45,35,27
2026-03-14,Q9,Hacienda,Viper,42,44,15
2026-03-14,Q9,Hacienda,Warden,30,46,13
2026-03-14,Q9,Crossroads Strike,Abhiz,28,28,9
