date,competition,team1,team2,banned_by,map
2026-06-25,CDM,OUG,GAL,OUG,Firing Range
2026-06-25,CDM,OUG,GAL,OUG,Combine
2026-06-25,CDM,OUG,GAL,OUG,Crossroads Strike
2026-06-25,CDM,OUG,GAL,GAL,Standoff
2026-06-25,CDM,OUG,GAL,GAL,Arsenal
2026-06-25,CDM,OUG,GAL,GAL,Tunisia
2026-06-25,CDM,ALU,Q9,ALU,Standoff
2026-06-25,CDM,ALU,Q9,ALU,Takeoff
2026-06-25,CDM,ALU,Q9,ALU,Tunisia
2026-06-25,CDM,ALU,Q9,Q9,Slums
2026-06-25,CDM,ALU,Q9,Q9,Arsenal
2026-06-25,CDM,ALU,Q9,Q9,Raid
2026-06-25,CDM,ELV,Wolves,ELV,Standoff
2026-06-25,CDM,ELV,Wolves,ELV,Combine
2026-06-25,CDM,ELV,Wolves,ELV,Tunisia
2026-06-25,CDM,ELV,Wolves,Wolves,Meltdown
2026-06-25,CDM,ELV,Wolves,Wolves,Arsenal
2026-06-25,CDM,ELV,Wolves,Wolves,Raid
2026-06-25,CDM,PAC,RVL,PAC,Meltdown
2026-06-25,CDM,PAC,RVL,PAC,Arsenal
2026-06-25,CDM,PAC,RVL,PAC,Crossroads Strike
2026-06-25,CDM,PAC,RVL,RVL,Raid
2026-06-25,CDM,PAC,RVL,RVL,Combine
2026-06-25,CDM,PAC,RVL,RVL,Slums
2026-06-26,CDM,OUG,Wolves,OUG,Firing Range
2026-06-26,CDM,OUG,Wolves,OUG,Summit
2026-06-26,CDM,OUG,Wolves,OUG,Crossroads Strike
2026-06-26,CDM,OUG,Wolves,Wolves,Standoff
2026-06-26,CDM,OUG,Wolves,Wolves,Arsenal
2026-06-26,CDM,OUG,Wolves,Wolves,Meltdown
2026-06-27,CDM,OUG,ELV,OUG,Coastal
2026-06-27,CDM,OUG,ELV,OUG,Summit
2026-06-27,CDM,OUG,ELV,OUG,Crossroads Strike
2026-06-27,CDM,OUG,ELV,ELV,Standoff
2026-06-27,CDM,OUG,ELV,ELV,Combine
2026-06-27,CDM,OUG,ELV,ELV,Tunisia
