Date,Opponent,Map,Score
2026-06-11,ELV,Arsenal,250-149
2026-06-11,ELV,Crossroads Strike,4-1
2026-06-11,ELV,Raid,2-4
2026-06-11,ELV,Meltdown,9-8
2026-06-11,ELV,Firing Range,9-2
2026-06-10,Wolves,Combine,250-168
2026-06-10,Wolves,Arsenal,250-132
2026-06-10,Wolves,Takeoff,195-250
2026-06-10,Wolves,Summit,250-192
2026-06-10,Wolves,Crossroads Strike,4-0
2026-06-10,Wolves,Standoff,4-2
2026-06-10,Wolves,Raid,1-4
2026-06-10,Wolves,Coastal,9-6
2026-06-10,Wolves,Firing Range,9-2
2026-06-10,ALU,Combine,225-250
2026-06-10,ALU,Hacienda,250-153
2026-06-10,ALU,Takeoff,225-250
2026-06-10,ALU,Standoff,3-4
2026-06-10,ALU,Crossroads Strike,2-4
2026-06-10,ALU,Tunisia,9-4
2026-06-10,ALU,Slums,9-8
2026-06-11,Q9,Combine,233-250
2026-06-11,Q9,Summit,250-178
2026-06-11,Q9,Arsenal,228-250
2026-06-11,Q9,Raid,4-2
2026-06-11,Q9,Standoff,4-0
2026-06-11,Q9,Slums,2-9
2026-06-11,Q9,Coastal,3-9
2026-06-12,OUG,Summit,250-244
2026-06-12,OUG,Combine,250-160
2026-06-12,OUG,Raid,1-4
2026-06-12,OUG,Standoff,4-3
2026-06-12,OUG,Tunisia,9-3
2026-06-12,OUG,Coastal,9-8
2026-06-12,RAG,Arsenal,250-173
2026-06-12,RAG,Takeoff,250-113
2026-06-12,RAG,Meltdown,9-2
2026-06-12,RAG,Tunisia,9-6
2026-06-16,ELV,Takeoff,207-250
2026-06-16,ELV,Hacienda,250-215
2026-06-16,ELV,Combine,181-250
2026-06-16,ELV,Crossroads Strike,0-3
2026-06-16,ELV,Raid,3-2
2026-06-16,ELV,Standoff,3-1
2026-06-16,ELV,Tunisia,9-5
2026-06-16,ELV,Firing Range,6-9
2026-06-16,ELV,Tunisia,9-2
2026-06-18,Wolves,Hacienda,250-176
2026-06-18,Wolves,Takeoff,250-118
2026-06-18,Wolves,Combine,101-250
2026-06-18,Wolves,Raid,4-2
2026-06-18,Wolves,Standoff,3-0
2026-06-18,Wolves,Firing Range,9-6
2026-06-18,Wolves,Coastal,7-9
2026-06-18,ELV,Arsenal,250-215
2026-06-18,ELV,Summit,128-250
2026-06-18,ELV,Takeoff,250-179
2026-06-18,ELV,Crossroads Strike,2-3
2026-06-18,ELV,Raid,1-3
2026-06-18,ELV,Meltdown,7-9
2026-06-18,ELV,Firing Range,7-9
2026-06-23,ELV,Summit,206-250
2026-06-23,ELV,Takeoff,143-250
2026-06-23,ELV,Combine,147-250
2026-06-23,ELV,Standoff,2-3
2026-06-23,ELV,Raid,3-2
2026-06-23,ELV,Slums,8-9
2026-06-23,ELV,Coastal,9-8
2026-06-25,ALU,Summit,235-250
2026-06-25,ALU,Takeoff,211-250
2026-06-25,ALU,Hacienda,247-250
2026-06-25,ALU,Standoff,2-4
2026-06-25,ALU,Crossroads Strike,3-4
2026-06-25,ALU,Slums,8-9
2026-06-25,ELV,Hacienda,134-250
2026-06-25,ELV,Takeoff,168-250
2026-06-25,ELV,Combine,164-250
2026-06-25,ELV,Standoff,4-1
2026-06-25,ELV,Raid,3-4
2026-06-25,ELV,Meltdown,9-7
2026-06-25,ELV,Firing Range,3-9
2026-06-23,Wolves,Hacienda,226-250
2026-06-23,Wolves,Takeoff,250-123
2026-06-23,Wolves,Combine,242-250
2026-06-23,Wolves,Crossroads Strike,4-3
2026-06-23,Wolves,Raid,4-0
2026-06-23,Wolves,Coastal,9-4
2026-06-19,Q9,Hacienda,166-250
2026-06-19,Q9,Combine,205-250
2026-06-19,Q9,Standoff,3-2
2026-06-19,Q9,Raid,3-0
2026-06-19,Q9,Coastal,5-9
2026-06-19,Q9,Slums,5-9
2026-06-20,Q9,Takeoff,250-130
2026-06-20,Q9,Combine,250-198
2026-06-20,Q9,Summit,250-186
2026-06-20,Q9,Crossroads Strike,2-3
2026-06-20,Q9,Raid,3-1
2026-06-20,Q9,Coastal,4-9
2026-06-20,Q9,Tunisia,9-2
2026-06-24,Q9,Combine,131-250
2026-06-24,Q9,Takeoff,250-184
2026-06-24,Q9,Crossroads Strike,4-3
2026-06-24,Q9,Standoff,2-4
2026-06-24,Q9,Meltdown,4-9
2026-06-19,ALU,Combine,187-250
2026-06-19,ALU,Arsenal,250-183
2026-06-19,ALU,Crossroads Strike,0-4
2026-06-19,ALU,Standoff,2-4
2026-06-19,ALU,Meltdown,9-5
2026-06-19,ALU,Slums,9-5
2026-06-24,ALU,Hacienda,250-240
2026-06-24,ALU,Summit,235-250
2026-06-24,ALU,Raid,2-4
2026-06-24,ALU,Crossroads Strike,1-4
2026-06-24,ALU,Tunisia,9-7
2026-06-24,ALU,Meltdown,5-9
2026-06-22,OUG,Hacienda,143-250
