Date,Week,Opponent,Map,Player,Kills,Deaths,Assists
2026-06-28,1,GAL,Summit,Abhiz,45,43,21
2026-06-28,1,GAL,Summit,Prevail,45,42,8
2026-06-28,1,GAL,Summit,Skullguy,65,35,24
2026-06-28,1,GAL,Summit,Viper,41,39,15
2026-06-28,1,GAL,Summit,Warden,43,34,15
2026-06-28,1,GAL,Tunisia,Abhiz,12,7,3
2026-06-28,1,GAL,Tunisia,Prevail,11,6,4
2026-06-28,1,GAL,Tunisia,Skullguy,10,6,0
2026-06-28,1,GAL,Tunisia,Viper,8,7,2
2026-06-28,1,GAL,Tunisia,Warden,8,7,4
2026-06-28,1,GAL,Crossroads Strike,Abhiz,11,17,4
2026-06-28,1,GAL,Crossroads Strike,Prevail,13,19,2
2026-06-28,1,GAL,Crossroads Strike,Skullguy,19,14,1
2026-06-28,1,GAL,Crossroads Strike,Viper,11,21,3
2026-06-28,1,GAL,Crossroads Strike,Warden,17,16,7
2026-06-28,1,GAL,Arsenal,Abhiz,36,31,9
2026-06-28,1,GAL,Arsenal,Prevail,37,37,12
2026-06-28,1,GAL,Arsenal,Skullguy,21,38,10
2026-06-28,1,GAL,Arsenal,Viper,31,42,15
2026-06-28,1,GAL,Arsenal,Warden,39,39,16
2026-06-28,1,GAL,Takeoff,Abhiz,44,40,30
2026-06-28,1,GAL,Takeoff,Prevail,37,49,14
2026-06-28,1,GAL,Takeoff,Skullguy,47,37,20
2026-06-28,1,GAL,Takeoff,Viper,45,43,18
2026-06-28,1,GAL,Takeoff,Warden,41,43,18
2026-06-28,1,GAL,Slums,Abhiz,5,10,4
2026-06-28,1,GAL,Slums,Prevail,7,12,2
2026-06-28,1,GAL,Slums,Skullguy,12,9,3
2026-06-28,1,GAL,Slums,Viper,7,10,2
2026-06-28,1,GAL,Slums,Warden,8,12,3
2026-06-28,1,GAL,Crossroads Strike,Abhiz,23,14,3
2026-06-28,1,GAL,Crossroads Strike,Prevail,19,23,4
2026-06-28,1,GAL,Crossroads Strike,Skullguy,14,19,4
2026-06-28,1,GAL,Crossroads Strike,Viper,20,25,4
2026-06-28,1,GAL,Crossroads Strike,Warden,15,28,9
2026-06-28,1,GAL,Hacienda,Abhiz,35,34,11
2026-06-28,1,GAL,Hacienda,Prevail,38,44,15
2026-06-28,1,GAL,Hacienda,Skullguy,46,40,14
2026-06-28,1,GAL,Hacienda,Viper,48,39,20
2026-06-28,1,GAL,Hacienda,Warden,47,42,25
2026-06-28,1,GAL,Raid,Abhiz,20,24,7
2026-06-28,1,GAL,Raid,Prevail,27,30,6
2026-06-28,1,GAL,Raid,Skullguy,18,24,6
2026-06-28,1,GAL,Raid,Viper,35,26,7
2026-06-28,1,GAL,Raid,Warden,28,26,8
2026-06-28,1,GAL,Firing Range,Abhiz,7,13,1
2026-06-28,1,GAL,Firing Range,Prevail,13,12,1
2026-06-28,1,GAL,Firing Range,Skullguy,9,15,2
2026-06-28,1,GAL,Firing Range,Viper,13,11,2
2026-06-28,1,GAL,Firing Range,Warden,11,12,4
2026-06-28,1,OUG,Firing Range,Abhiz,11,11,1
2026-06-28,1,OUG,Firing Range,Prevail,12,10,3
2026-06-28,1,OUG,Firing Range,Skullguy,13,11,5
2026-06-28,1,OUG,Firing Range,Viper,10,9,8
2026-06-28,1,OUG,Firing Range,Warden,15,11,4
2026-06-28,1,OUG,Summit,Abhiz,30,41,24
2026-06-28,1,OUG,Summit,Prevail,36,49,8
2026-06-28,1,OUG,Summit,Skullguy,33,39,18
2026-06-28,1,OUG,Summit,Viper,57,40,14
2026-06-28,1,OUG,Summit,Warden,33,47,19
2026-06-28,1,OUG,Standoff,Abhiz,30,27,8
2026-06-28,1,OUG,Standoff,Prevail,20,30,7
2026-06-28,1,OUG,Standoff,Skullguy,19,24,9
2026-06-28,1,OUG,Standoff,Viper,21,30,10
2026-06-28,1,OUG,Standoff,Warden,26,33,6
