Date,Week,Opponent,Map,Mode,Player,Kills,Deaths,Assists
25-Feb,1,Q9,Hacienda,HP,Abhiz,45,37,7
25-Feb,1,Q9,Hacienda,HP,Prevail,46,39,13
25-Feb,1,Q9,Hacienda,HP,Skullguy,38,37,18
25-Feb,1,Q9,Hacienda,HP,Viper,48,41,20
25-Feb,1,Q9,Hacienda,HP,Warden,36,41,12
25-Feb,1,Q9,Combine,HP,Abhiz,39,39,28
25-Feb,1,Q9,Combine,HP,Prevail,43,48,16
25-Feb,1,Q9,Combine,HP,Skullguy,31,39,16
25-Feb,1,Q9,Combine,HP,Viper,47,43,17
25-Feb,1,Q9,Combine,HP,Warden,33,44,20
25-Feb,1,Q9,Arsenal,HP,Abhiz,40,31,13
25-Feb,1,Q9,Arsenal,HP,Prevail,30,31,14
25-Feb,1,Q9,Arsenal,HP,Skullguy,28,26,13
25-Feb,1,Q9,Arsenal,HP,Viper,25,32,12
25-Feb,1,Q9,Arsenal,HP,Warden,33,29,16
25-Feb,1,Q9,Takeoff,HP,Abhiz,47,49,35
25-Feb,1,Q9,Takeoff,HP,Prevail,56,53,18
25-Feb,1,Q9,Takeoff,HP,Skullguy,48,46,18
25-Feb,1,Q9,Takeoff,HP,Viper,46,44,23
25-Feb,1,Q9,Takeoff,HP,Warden,39,49,24
24-Feb,1,XROCK,Summit,HP,Abhiz,39,27,22
24-Feb,1,XROCK,Summit,HP,Skullguy,32,27,10
24-Feb,1,XROCK,Summit,HP,Viper,33,32,19
24-Feb,1,XROCK,Summit,HP,Warden,36,28,14
24-Feb,1,XROCK,Combine,HP,Abhiz,24,49,20
24-Feb,1,XROCK,Combine,HP,Skullguy,42,41,26
24-Feb,1,XROCK,Combine,HP,Viper,56,44,19
24-Feb,1,XROCK,Combine,HP,Warden,46,45,9
24-Feb,1,XROCK,Takeoff,HP,Abhiz,40,21,12
24-Feb,1,XROCK,Takeoff,HP,Skullguy,24,26,9
24-Feb,1,XROCK,Takeoff,HP,Viper,62,15,20
24-Feb,1,XROCK,Takeoff,HP,Warden,35,25,16
24-Feb,1,XROCK,Raid,Control,Abhiz,28,30,6
24-Feb,1,XROCK,Raid,Control,Skullguy,22,23,4
24-Feb,1,XROCK,Raid,Control,Viper,23,30,7
24-Feb,1,XROCK,Raid,Control,Warden,30,21,4
24-Feb,1,XROCK,Crossroads Strike,Control,Abhiz,34,19,12
24-Feb,1,XROCK,Crossroads Strike,Control,Skullguy,23,21,0
24-Feb,1,XROCK,Crossroads Strike,Control,Viper,31,20,18
24-Feb,1,XROCK,Crossroads Strike,Control,Warden,32,27,10
26-Feb,1,ALU,Takeoff,HP,Abhiz,40,52,38
26-Feb,1,ALU,Takeoff,HP,Prevail,39,52,15
26-Feb,1,ALU,Takeoff,HP,Skullguy,52,39,21
26-Feb,1,ALU,Takeoff,HP,Viper,41,51,21
26-Feb,1,ALU,Takeoff,HP,Warden,42,52,24
27-Feb,1,XROCK,Hacienda,HP,Abhiz,50,34,19
27-Feb,1,XROCK,Hacienda,HP,Prevail,33,33,13
27-Feb,1,XROCK,Hacienda,HP,Skullguy,47,34,10
27-Feb,1,XROCK,Hacienda,HP,Viper,42,32,17
27-Feb,1,XROCK,Hacienda,HP,Warden,46,42,11
27-Feb,1,XROCK,Summit,HP,Abhiz,30,23,20
27-Feb,1,XROCK,Summit,HP,Prevail,44,26,9
27-Feb,1,XROCK,Summit,HP,Skullguy,32,25,11
27-Feb,1,XROCK,Summit,HP,Viper,37,23,23
27-Feb,1,XROCK,Summit,HP,Warden,39,29,15
27-Feb,1,XROCK,Raid,Control,Abhiz,37,42,9
27-Feb,1,XROCK,Raid,Control,Prevail,41,36,11
27-Feb,1,XROCK,Raid,Control,Skullguy,45,36,3
27-Feb,1,XROCK,Raid,Control,Viper,31,25,8
27-Feb,1,XROCK,Raid,Control,Warden,36,28,6
27-Feb,1,XROCK,Crossroads Strike,Control,Abhiz,31,27,7
27-Feb,1,XROCK,Crossroads Strike,Control,Prevail,32,33,8
27-Feb,1,XROCK,Crossroads Strike,Control,Skullguy,42,19,4
27-Feb,1,XROCK,Crossroads Strike,Control,Viper,37,28,17
27-Feb,1,XROCK,Crossroads Strike,Control,Warden,26,32,12
2-Mar,2,Q9,Combine,HP,Abhiz,44,46,21
2-Mar,2,Q9,Combine,HP,Prevail,47,52,13
2-Mar,2,Q9,Combine,HP,Skullguy,34,45,16
2-Mar,2,Q9,Combine,HP,Viper,58,43,15
2-Mar,2,Q9,Combine,HP,Warden,31,49,23
2-Mar,2,Q9,Arsenal,HP,Abhiz,45,21,13
2-Mar,2,Q9,Arsenal,HP,Prevail,34,28,14
2-Mar,2,Q9,Arsenal,HP,Skullguy,29,27,16
2-Mar,2,Q9,Arsenal,HP,Viper,29,28,19
2-Mar,2,Q9,Arsenal,HP,Warden,23,30,18
2-Mar,2,Q9,Standoff,Control,Abhiz,38,35,16
2-Mar,2,Q9,Standoff,Control,Prevail,31,35,11
2-Mar,2,Q9,Standoff,Control,Skullguy,34,29,5
2-Mar,2,Q9,Standoff,Control,Viper,32,26,12
2-Mar,2,Q9,Standoff,Control,Warden,32,34,13
2-Mar,2,ALU,Takeoff,HP,Abhiz,41,38,22
2-Mar,2,ALU,Takeoff,HP,Prevail,24,46,17
2-Mar,2,ALU,Takeoff,HP,Skullguy,28,35,21
2-Mar,2,ALU,Takeoff,HP,Viper,29,38,14
2-Mar,2,ALU,Takeoff,HP,Warden,44,37,20
2-Mar,2,ALU,Combine,HP,Abhiz,33,46,26
2-Mar,2,ALU,Combine,HP,Prevail,49,41,12
2-Mar,2,ALU,Combine,HP,Skullguy,42,41,25
2-Mar,2,ALU,Combine,HP,Viper,62,38,20
2-Mar,2,ALU,Combine,HP,Warden,48,43,28
2-Mar,2,ALU,Standoff,Control,Abhiz,12,24,9
2-Mar,2,ALU,Standoff,Control,Prevail,21,27,5
2-Mar,2,ALU,Standoff,Control,Skullguy,16,20,3
2-Mar,2,ALU,Standoff,Control,Viper,17,22,7
2-Mar,2,ALU,Standoff,Control,Warden,15,27,11
3-Mar,2,DVS,Hacienda,HP,Abhiz,31,40,13
3-Mar,2,DVS,Hacienda,HP,Prevail,32,42,8
3-Mar,2,DVS,Hacienda,HP,Skullguy,23,38,16
3-Mar,2,DVS,Hacienda,HP,Viper,29,39,15
3-Mar,2,DVS,Hacienda,HP,Warden,19,38,10
3-Mar,2,DVS,Summit,HP,Abhiz,45,26,22
3-Mar,2,DVS,Summit,HP,Prevail,37,32,8
3-Mar,2,DVS,Summit,HP,Skullguy,26,31,16
3-Mar,2,DVS,Summit,HP,Viper,45,26,17
3-Mar,2,DVS,Summit,HP,Warden,35,33,16
3-Mar,2,DVS,Raid,Control,Abhiz,26,30,5
3-Mar,2,DVS,Raid,Control,Prevail,21,30,3
3-Mar,2,DVS,Raid,Control,Skullguy,19,28,1
