Date,Week,Opponent,Map,Mode,Score,Result
25-Feb,1,Q9,Hacienda,HP,208-250,0
25-Feb,1,Q9,Combine,HP,216-250,0
25-Feb,1,Q9,Arsenal,HP,250-176,1
25-Feb,1,Q9,Summit,HP,250-249,1
25-Feb,1,Q9,Raid,Control,0-4,0
25-Feb,1,Q9,Takeoff,HP,250-231,1
24-Feb,1,XROCK,Summit,HP,250-108,1
24-Feb,1,XROCK,Combine,HP,215-250,0
24-Feb,1,XROCK,Hacienda,HP,250-210,1
24-Feb,1,XROCK,Takeoff,HP,250-70,1
24-Feb,1,XROCK,Arsenal,HP,250-83,1
24-Feb,1,XROCK,Raid,Control,3-2,1
24-Feb,1,XROCK,Crossroads Strike,Control,3-2,1
26-Feb,1,ALU,Combine,HP,172-250,0
26-Feb,1,ALU,Takeoff,HP,161-250,0
26-Feb,1,ALU,Hacienda,HP,142-250,0
26-Feb,1,ALU,Coastal,SnD,9-7,1
26-Feb,1,ALU,Tunisia,SnD,4-9,0
26-Feb,1,ALU,Meltdown,SnD,8-9,0
26-Feb,1,ALU,Raid,Control,4-3,1
27-Feb,1,XROCK,Hacienda,HP,250-162,1
27-Feb,1,XROCK,Combine,HP,250-150,1
27-Feb,1,XROCK,Takeoff,HP,250-104,1
27-Feb,1,XROCK,Summit,HP,250-96,1
27-Feb,1,XROCK,Raid,Control,4-3,1
27-Feb,1,XROCK,Crossroads Strike,Control,4-2,1
27-Feb,1,XROCK,Firing Range,SnD,9-2,1
27-Feb,1,XROCK,Tunisia,SnD,9-6,1
2-Mar,2,Q9,Combine,HP,222-250,0
2-Mar,2,Q9,Hacienda,HP,250-197,1
2-Mar,2,Q9,Arsenal,HP,250-119,1
2-Mar,2,Q9,Standoff,Control,2-4,0
2-Mar,2,Q9,Crossroads Strike,Control,1-4,0
2-Mar,2,Q9,Slums,SnD,3-9,0
2-Mar,2,ALU,Takeoff,HP,174-250,0
2-Mar,2,ALU,Combine,HP,250-215,1
2-Mar,2,ALU,Standoff,Control,0-4,0
2-Mar,2,ALU,Raid,Control,0-4,0
2-Mar,2,ALU,Slums,SnD,1-9,0
2-Mar,2,ALU,Tunisia,SnD,3-7,0
3-Mar,2,DVS,Takeoff,HP,250-93,1
3-Mar,2,DVS,Hacienda,HP,139-250,0
3-Mar,2,DVS,Summit,HP,250-128,1
3-Mar,2,DVS,Combine,HP,250-215,1
3-Mar,2,DVS,Raid,Control,1-4,0
3-Mar,2,DVS,Standoff,Control,2-4,0
3-Mar,2,DVS,Crossroads Strike,Control,2-4,0
3-Mar,2,DVS,Slums,SnD,6-9,0
3-Mar,2,DVS,Coastal,SnD,7-9,0
4-Mar,2,XROCK,Summit,HP,250-130,1
4-Mar,2,XROCK,Hacienda,HP,250-58,1
4-Mar,2,XROCK,Takeoff,HP,250-58,1
4-Mar,2,XROCK,Coastal,SnD,9-6,1
4-Mar,2,XROCK,Slums,SnD,8-9,0
4-Mar,2,XROCK,Tunisia,SnD,9-5,1
5-Mar,2,Q9,Crossroads Strike,Control,3-4,0
5-Mar,2,Q9,Standoff,Control,2-4,0
6-Mar,2,T2P,Crossroads Strike,Control,4-3,1
6-Mar,2,T2P,Standoff,Control,4-0,1
6-Mar,2,T2P,Raid,Control,4-0,1
6-Mar,2,T2P,Slums,SnD,9-5,1
7-Mar,2,Wolves,Summit,HP,250-155,1
7-Mar,2,Wolves,Combine,HP,250-235,1
7-Mar,2,Wolves,Hacienda,HP,250-98,1
7-Mar,2,Wolves,Takeoff,HP,250-104,1
7-Mar,2,Wolves,Raid,Control,4-3,1
7-Mar,2,Wolves,Crossroads Strike,Control,4-3,1
7-Mar,2,Wolves,Standoff,Control,4-2,1
7-Mar,2,Wolves,Tunisia,SnD,9-7,1
7-Mar,2,Wolves,Coastal,SnD,9-5,1
10-Mar,3,OUG,Combine,HP,114-250,0
10-Mar,3,OUG,Raid,Control,1-4,0
10-Mar,3,OUG,Crossroads Strike,Control,4-2,1
14-Mar,3,Q9,Arsenal,HP,250-140,1
14-Mar,3,Q9,Crossroads Strike,Control,2-4,0
14-Mar,3,Q9,Hacienda,HP,200-250,0
14-Mar,3,Q9,Raid,Control,2-4,0
14-Mar,3,Q9,Slums,SnD,5-9,0
16-Mar,4,XROCK,Summit,HP,250-167,1
16-Mar,4,XROCK,Hacienda,HP,250-66,1
16-Mar,4,XROCK,Standoff,Control,4-0,1
