date,team1,team2,format,series,map,winner,team1_score,team2_score
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,Arsenal,ELV,181,250
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,Coastal,ALU,9,5
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,Standoff,ALU,3,1
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,Takeoff,ELV,188,250
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,Meltdown,ELV,6,9
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,Hacienda,ELV,250,197
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,Tunisia,ALU,7,9
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,Standoff,ALU,1,3
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,Summit,ELV,250,181
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,Firing Range,ALU,4,9
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,Raid,ALU,0,4
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,Hacienda,ALU,200,250
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,Slums,ALU,6,9
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,Standoff,ELV,3,2
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,Summit,ELV,250,238
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,Coastal,ELV,9,2
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,Raid,ELV,3,1
